date,sales
23-07-19,0.2
23-07-19,2.1
23-07-19,0.1
23-07-19,0.2
23-07-19,0.1
23-07-19,0.3
23-07-19,4.3
23-07-19,0.1
23-07-19,0.1
23-07-19,0.3
23-07-19,0.1
23-07-19,0.1
23-07-19,0.2
23-07-19,0.3
23-07-19,0.1
23-07-19,1.9
23-07-19,1.2
24-07-19,0
24-07-19,0.2
24-07-19,0.4
24-07-19,0.4
24-07-19,0.8
24-07-19,0.3
24-07-19,0.2
24-07-19,0.2
24-07-19, -   
24-07-19,0.3
24-07-19,0.4
24-07-19,1
24-07-19,0.2
24-07-19,0.2
24-07-19,0.1
24-07-19,0.1
24-07-19,1
24-07-19,0.2
24-07-19,0.3
24-07-19,0.4
24-07-19,0.3
24-07-19,0.3
24-07-19,0.6
24-07-19,0.1
24-07-19,0.1
25-07-19,0.2
25-07-19,0.1
25-07-19,0.1
25-07-19,0.1
25-07-19,0.2
25-07-19,0.4
25-07-19,0.1
25-07-19,0.2
25-07-19,0.3
25-07-19,1.2
25-07-19,0.1
25-07-19,0.2
25-07-19,0.2
25-07-19,0.4
25-07-19,0.1
25-07-19,0.1
25-07-19,0.2
25-07-19,0.6
25-07-19,0.4
25-07-19,0.3
25-07-19,0.2
25-07-19,0.2
25-07-19,0.4
25-07-19,0.3
25-07-19,0.2
25-07-19,0.2
25-07-19,0.2
25-07-19,0.1
25-07-19,0.2
25-07-19,0.1
25-07-19,0.1
25-07-19,0.2
25-07-19,0.2
25-07-19,0.2
25-07-19,0.2
25-07-19,0.1
25-07-19,0.4
25-07-19,0.3
25-07-19,1
25-07-19,0.2
25-07-19,0.3
25-07-19,0.1
25-07-19,0.3
25-07-19,0.1
25-07-19,1.6
25-07-19,1.1
25-07-19,0.2
25-07-19,0.8
25-07-19,0.1
25-07-19,0.2
25-07-19,0.1
26-07-19,0
26-07-19,0.8
26-07-19,0.1
26-07-19,0.4
26-07-19,0.3
26-07-19,0.8
26-07-19,0.3
26-07-19,0.1
26-07-19,0.7
26-07-19,0.2
26-07-19,0.1
27-07-19,0.2
27-07-19,0.1
27-07-19,0.5
27-07-19,0.2
27-07-19,0.2
27-07-19,0.1
27-07-19,0.2
27-07-19,0.2
27-07-19,0.1
27-07-19,0.2
27-07-19,0.4
27-07-19,0.3
27-07-19,1.5
27-07-19,0.1
28-07-19,0
29-07-19,0
29-07-19,0.8
29-07-19,1.1
29-07-19,0.9
29-07-19,0.3
29-07-19,2.2
29-07-19,0.3
29-07-19,0.5
29-07-19,0.9
29-07-19,0.7
30-07-19,0.1
30-07-19,0.1
30-07-19, -   
30-07-19,0
